Code,Compound,Obs,Pred,Dev.,log_P,eLumo,eHomo,IL,abs dev
1,2-bromo-7-aminofluorene,2.62,2.62,0,3.92,-0.405,-8.236,1,0
2,2-methoxy-5-methylaniline(p-cresidine),-2.05,-2.06,0.01,1.74,0.419,-8.449,0,0.01
3,5-aminoquinoline,-2,-2.02,0.02,1.16,-0.395,-8.395,0,0.02
4,4-ethoxyaniline,-2.3,-2.32,0.02,1.24,0.513,-8.182,0,0.02
5,1-aminonaphthalene,-0.6,-0.63,0.03,2.25,-0.195,-8.108,0,0.03
6,4-aminofluorene,1.13,1.1,0.03,2.7,-0.157,-8.256,1,0.03
7,2-aminoanthracene,2.62,2.65,-0.03,3.26,-0.771,-7.869,1,0.03
8,7-aminofluoranthene,2.88,2.83,0.05,3.72,-0.895,-8.186,1,0.05
9,8-aminoquinoline,-1.14,-1.08,-0.06,1.79,-0.294,-8.134,0,0.06
10,"1,7-diaminophenazine",0.75,0.82,-0.07,1.64,-1.045,-8.089,1,0.07
11,2-aminonaphthalene,-0.67,-0.74,0.07,2.28,-0.198,-8.227,0,0.07
12,4-aminopyrene,3.16,3.25,-0.09,3.72,-0.85,-7.837,1,0.09
13,3-amino-3’-nitrobiphenyl,-0.55,-0.44,-0.11,2.68,-1.034,-8.801,0,0.11
14,"2,4,5-trimethylaniline",-1.32,-1.19,-0.13,2.41,0.581,-8.244,0,0.13
15,3-aminofluorene,0.89,1.02,-0.13,2.7,-0.182,-8.333,1,0.13
16,"3,3’-dichlorobenzidine",0.81,0.67,0.14,3.51,-0.142,-8.125,0,0.14
17,"2,4-dimethyllaniline(2,4-xylidine)",-2.22,-2.05,-0.17,1.68,0.605,-8.288,0,0.17
18,"2,7-diaminofluorene",0.48,0.31,0.17,1.47,0,-7.753,1,0.17
19,3-aminofluoranthene,3.31,3.49,-0.18,4.2,-0.818,-8.033,1,0.18
20,2-aminofluorene,1.93,1.73,0.2,3.14,-0.108,-8.106,1,0.2
21,2-amino-4’-nitrobiphenyl,-0.62,-0.42,-0.2,2.68,-1.148,-8.852,0,0.2
22,4-aminobiphenyl,-0.14,-0.34,0.2,2.86,0.048,-8.263,0,0.2
23,3-methoxy-4-methylaniline(o-cresidine),-1.96,-2.19,0.23,1.52,0.583,-8.274,0,0.23
24,2-aminocarbazole,0.6,0.84,-0.24,2.3,0.025,-8.023,1,0.24
25,2-amino-5-nitrophenol,-2.52,-2.26,-0.26,1.36,-0.923,-9.052,0,0.26
26,"2,2’-diaminobiphenyl",-1.52,-1.79,0.27,1.58,0.267,-8.193,0,0.27
27,2-hydroxy-7-aminofluorene,0.41,0.69,-0.28,2.03,-0.127,-7.998,1,0.28
28,1-aminophenanthrene,2.38,2.01,0.37,3.26,-0.357,-8.132,1,0.37
29,"2,5-dimethylaniline(2,5-xylidine)",-2.4,-2.02,-0.38,1.83,0.581,-8.404,0,0.38
30,4-amino-2’-nitrobiphenyl,-0.92,-0.53,-0.39,2.68,-0.554,-8.597,0,0.39
31,2-amino-4-methylphenol,-2.1,-2.5,0.4,1.16,0.478,-8.274,0,0.4
32,2-aminophenazine,0.55,0.97,-0.42,2.18,-1.165,-8.495,1,0.42
33,4-aminophenylsulfide,0.31,-0.13,0.44,2.18,0.047,-7.528,0,0.44
34,"2,4-dinitroaniline",-2,-2.46,0.46,1.84,-1.491,-9.931,0,0.46
35,"2,4-diaminoisopropylbenzene",-3,-2.53,-0.47,1.12,0.722,-8.121,0,0.47
36,"2,4-difluoroaniline",-2.7,-2.22,-0.48,1.54,-0.085,-8.695,0,0.48
37,"4,4’-methylenedianiline",-1.6,-2.11,0.51,1.59,0.576,-8.274,0,0.51
38,"3,3’-dimethylbenzidine",0.01,-0.5,0.51,2.34,0.185,-7.873,0,0.51
39,2-aminofluoranthene,3.23,2.71,0.52,3.72,-0.887,-8.273,1,0.52
40,2-amino-3’-nitrobiphenyl,-0.89,-0.37,-0.52,2.68,-1.029,-8.746,0,0.52
41,1 aminofluoranthene,3.35,2.81,0.54,3.72,-0.816,-8.159,1,0.54
42,"4,4’-ethylenebis(aniline)",-2.15,-1.6,-0.55,2.13,0.589,-8.318,0,0.55
43,4-chloroaniline,-2.52,-1.96,-0.56,1.88,0.284,-8.568,0,0.56
44,2-aminophenanthrene,2.46,1.89,0.57,3.26,-0.365,-8.233,1,0.57
45,4-fluoroaniline,-3.32,-2.73,-0.59,1.15,0.275,-8.56,0,0.59
46,9-aminophenanthrene,2.98,2.38,0.6,3.56,-0.364,-8.099,1,0.6
47,"3,3’-diaminobiphenyl",-1.3,-1.92,0.62,1.58,0.056,-8.414,0,0.62
48,2-aminopyrene,3.5,2.86,0.64,3.72,-0.865,-8.144,1,0.64
49,"2,6-dichloro-1,4-phenylenediamine",-0.69,-1.33,0.64,1.79,-0.029,-8.18,0,0.64
50,2-amino-7-acetamidofluorene,1.18,0.53,0.65,1.72,-0.143,-7.876,1,0.65
51,"2,8-diaminophenazine",1.12,0.46,0.66,1.64,-1.039,-8.369,1,0.66
52,6-aminoquinoline,-2.67,-1.96,-0.71,1.28,-0.383,-8.443,0,0.71
53,4-methoxy-2-methylaniline(me-crisidine) ,-3,-2.27,-0.73,1.23,0.474,-8.152,0,0.73
54,3-amino-2’-nitrobiphenyl,-1.3,-0.55,-0.75,2.68,-0.648,-8.665,0,0.75
55,"2,4’-diaminobiphenyl",-0.92,-1.69,0.77,1.58,0.215,-8.144,0,0.77
56,"1,6-diaminophenazine",0.2,0.99,-0.79,1.64,-1.058,-7.967,1,0.79
57,4- aminophenyldisulfide,-1.03,-0.2,-0.83,1.99,-1.33,-8.209,0,0.83
58,"2-bromo-4,6-dinotroaniline",-0.54,-1.41,0.87,2.78,-1.691,-10.018,0,0.87
59,"2,4-diamino-n-butylbenzene",-2.7,-1.82,-0.88,1.77,0.702,-8.13,0,0.88
60,4-aminophenylether,-1.14,-2.03,0.89,1.36,0.317,-8.167,0,0.89
61,2-aminobiphenyl,-1.49,-0.59,-0.9,2.84,0.107,-8.407,0,0.9
62,"1,9-diaminophenazine",0.04,0.94,-0.9,1.64,-1.04,-7.997,1,0.9
63,1-aminofluorene,0.43,1.38,-0.95,3.18,-0.191,-8.467,1,0.95
64,8-aminofluoranthene,3.8,2.83,0.97,3.72,-0.853,-8.166,1,0.97
65,2-chloroaniline,-3,-2.01,-0.99,1.9,0.268,-8.632,0,0.99
66,3-amino-aaa-trifluorotoluene,-0.8,-1.79,0.99,2.29,-0.104,-9.032,0,0.99
67,2-amino-1-nitronaphthalene,-1.17,-0.17,-1,2.95,-0.998,-8.8,0,1
68,3-amino-4’-nitrobiphenyl,0.69,-0.43,1.12,2.68,-1.178,-8.879,0,1.12
69,4-bromoaline,-2.7,-1.57,-1.13,2.26,0.212,-8.62,0,1.13
70,2-amino-4-chlorophenol,-3,-1.87,-1.13,1.81,0.154,-8.508,0,1.13
71,"3,3’-dimethoxybenzidine",0.15,-1.01,1.16,1.81,-0.005,-7.927,0,1.16
72,4-cyclohexylaniline,-1.24,-0.06,-1.18,3.65,0.62,-8.38,0,1.18
73,4-phenoxyaniline,0.38,-0.82,1.2,2.96,0.255,-8.598,0,1.2
74,"4,4’-methylenebis(o-ethylaniline)",-0.99,0.22,-1.21,3.66,0.605,-8.181,0,1.21
75,2-amino-7-nitrofluorene,3,1.79,1.21,3.06,-1.164,-8.595,1,1.21
76,Benzidine,-0.39,-1.63,1.24,1.34,0.147,-7.931,0,1.24
77,1-amino-4-nitronaphthalene,-1.77,-0.48,-1.29,2.48,-1.035,-8.663,0,1.29
78,4-amino-3’-nitrobiphenyl,1.02,-0.27,1.29,2.68,-0.959,-8.63,0,1.29
79,4-amino-4’-nitrobiphenyl,1.04,-0.27,1.31,2.68,-1.102,-8.707,0,1.31
80,1-aminophenazine,-0.01,1.31,-1.32,2.18,-1.164,-8.23,1,1.32
81,"4,4’-methylenebis(o-fluoroaniline)",0.23,-1.09,1.32,2.5,0.186,-8.467,0,1.32
82,4-chloro-2-nitroaniline,-2.22,-0.8,-1.42,2.72,-1.019,-9.11,0,1.42
83,3-aminoquinoline,-3.14,-1.71,-1.43,1.63,-0.376,-8.534,0,1.43
84,3-aminocarbazole,-0.48,1.12,-1.6,2.3,-0.107,-7.877,1,1.6
85,"4-chloro-1,2-phenylenediamine",-0.49,-2.27,1.78,1.28,0.241,-8.325,0,1.78
86,3-aminophenanthrene,3.77,1.91,1.86,3.26,-0.203,-8.122,1,1.86
87,"3,4’-diaminobiphenyl",0.2,-1.67,1.87,1.58,0.103,-8.187,0,1.87
89,1-aminocarbazoleb,-1.04,0.93,-1.97,2.3,-0.115,-8.035,1,1.97
