ID,CAS,logP_estimated,logP_observed,SMILES,Chemical,Yexp.,Ypred.Mod3,Ypred.MCI,Ypred.BCFWIN,VIM,MATS2m,GATS2e,H6p,nHAcc
117,38964-22-6,5.63,,Clc1ccc2Oc3cccc(Cl)c3Oc2c1,"2,8-Dichlorodibenzo-p-dioxin",2.82,2.98,2.65,3.64,3.98,0.99,1.91,0.03,2
118,35822-46-9,8.85,8.2,Clc1c(Cl)c(Cl)c2Oc3cc(Cl)c(Cl)c(Cl)c3Oc2c1Cl,"1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin",3.16,3.73,3.71,3.17,4.37,1.02,2.35,0.22,2
119,39227-61-7,7.56,7.4,Clc1c(Cl)c(Cl)c2Oc3ccc(Cl)cc3Oc2c1Cl,"1,2,3,4,7-Pentachlorodibenzo-p-dioxin",3.21,3.61,3.5,4.26,4.22,1.01,2.06,0.11,2
120,67028-18-6,6.92,6.9,Clc1c(Cl)cc2Oc3ccc(Cl)cc3Oc2c1Cl,"1,2,3,7-Tetrachlorodibenzo-p-dioxin",3.24,3.47,3.29,4.61,4.15,1.01,1.97,0.07,2
121,33423-92-6,6.92,7.1,c1c(Cl)cc2Oc3cc(Cl)cc(Cl)c3Oc2c1Cl,"1,3,6,8-Tetrachlorodibenzo-p-dioxin",3.36,3.42,3.31,4.67,4.15,1.01,1.97,0.11,2
122,39227-28-6,8.21,7.8,Clc1c(Cl)c(Cl)c2Oc3ccc(Cl)c(Cl)c3Oc2c1Cl,"1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin",3.54,3.79,3.65,3.71,4.3,1.02,2.18,0.1,2
123,262-12-4,4.34,4.3,O2c1ccccc1Oc3ccccc23,"Dibenzo(1,4)dioxin",3.85,2.13,1.74,2.61,3.79,0.96,2.11,0.03,2
124,1746-01-6,6.92,6.8,Clc3cc2Oc1cc(Cl)c(Cl)cc1Oc2cc3Cl,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",4.06,3.54,3.31,4.54,4.15,1.01,1.97,0.03,2
125,40321-76-4,7.56,6.64,ClC(C1=C2OC(C=C3Cl)=C(C=C3Cl)O1)=C(C(Cl)=C2)Cl,"1,2,3,7,8-Pentachlorodibenzo-p-dioxin",4.5,3.67,3.52,4.41,4.22,1.01,2.06,0.07,2
126,271-89-6,2.54,2.67,c1ccc2ccoc2c1,Benzo[b]furan,2.56,1.44,1.12,1.36,3.16,0.95,2.24,0,1
127,39001-02-0,8.87,8.6,Clc3c(Cl)c(Cl)c1c(oc2c(Cl)c(Cl)c(Cl)c(Cl)c12)c3Cl,Octachlordibenzofuran,2.94,4.11,4.4,2.62,4.37,1.03,2.19,0.36,1
128,132-64-9,3.71,4.12,o(c(c(c1cccc2)ccc3)c3)c12,Dibenzofuran,3.34,2.37,2.22,2.47,3.68,0.95,1.97,0.03,1
129,51207-31-9,6.29,6.53,Clc3cc2oc1cc(Cl)c(Cl)cc1c2cc3Cl,"2,3,7,8-Tetrachlorodibenzofuran",3.53,3.96,3.89,4.33,4.06,1.01,1.64,0.04,1
130,67562-39-4,8.23,7.92,c1(Cl)c(Cl)c2c3cc(Cl)c(Cl)c(Cl)c3oc2c(Cl)c1Cl,"1,2,3,4,6,7,8-Heptachlorodibenzofuran",3.62,4.06,4.38,3.55,4.3,1.03,1.99,0.32,1
131,57117-31-4,6.94,6.92,c1(Cl)cc2c3cc(Cl)c(Cl)cc3oc2c(Cl)c1Cl,"2,3,4,7,8-Pentachlorodibenzofuran",4.03,4.16,4.13,4.53,4.15,1.02,1.8,0.07,1
132,767-00-0,1.61,1.6,N#Cc(ccc(O)c1)c1,4-Cyanophenol,0.91,1.57,0.67,0.53,3.14,0.97,1.2,0,2
133,95-48-7,2.06,1.95,Oc(c(ccc1)C)c1,2-Methylphenol,1.03,1.57,1.39,0.8,2.98,0.96,1.15,0,1
134,108-95-2,1.51,1.46,Oc(cccc1)c1,Phenol,1.24,1.1,0.9,0.42,2.8,0.95,1.25,0,1
135,108-43-0,2.16,2.5,Oc(cccc1Cl)c1,3-Chlorophenol,1.25,1.81,1.44,1.23,2.98,0.98,1.3,0,1
136,120-83-2,2.8,3.06,Oc(c(cc(c1)Cl)Cl)c1,"2,4-Dichlorophenol",1.5,2.31,1.95,1.26,3.15,0.99,1.43,0,1
137,106-41-2,2.4,2.59,Oc(ccc(c1)Br)c1,4-Bromophenol,1.56,1.94,1.65,1.29,2.98,0.98,1.28,0,1
138,99-71-8,3.459,3.08,Oc(ccc(c1)C(CC)C)c1,p-sec-Butyl phenol,1.57,2.17,2.03,1.67,3.43,0.95,1.11,0.03,1
139,123-31-9,1.03,0.59,Oc(ccc(O)c1)c1,Hydroquinone,1.6,1.02,0.61,0.5,2.98,0.95,1.33,0,2
140,1689-84-5,3.39,,Oc1c(Br)cc(C#N)cc1Br,"2,6-Dibromo-4-Cyanophenol",1.67,2.54,2.03,1.51,3.43,1.01,1.43,0,2
141,16766-31-7,2.63,,Oc(c(Cl)cc(Cl)c1)c1OC,"4,6-Dichloroguaiacol",1.74,2.07,1.95,0.92,3.43,0.99,2.17,0.01,2
142,98-54-4,3.42,3.31,Oc(ccc(c1)C(C)(C)C)c1,4-t-Butyl phenol,1.86,2.21,2.18,1.85,3.43,0.95,1.06,0.03,1
143,2668-24-8,3.27,3.72,COc1cc(Cl)c(Cl)c(Cl)c1O,"4,5,6-Trichloroguaiacol",1.97,2.42,2.36,1.76,3.56,1,2.23,0.01,2
144,2460-49-3,2.63,3.26,COc1cc(Cl)c(Cl)cc1O,"4,5-Dichloroguaiacol",2.03,2.07,1.95,1.41,3.43,0.99,2.17,0.01,2
145,935-95-5,4.09,3.88,Oc1c(Cl)c(Cl)cc(Cl)c1Cl,"2,3,5,6-Tetrachlorophenol",2.15,2.95,2.88,1.89,3.44,1.01,1.84,0,1
146,105-67-9,2.61,2.3,Oc(c(cc(c1)C)C)c1,"2,4-Dimethylphenol",2.18,1.84,1.89,1.07,3.15,0.96,1.09,0.05,1
147,95-57-8,2.16,2.15,Oc(c(ccc1)Cl)c1,2-Chlorophenol,2.33,1.81,1.43,0.96,2.98,0.98,1.3,0,1
148,57057-83-7,3.27,3.77,COc1c(O)cc(Cl)c(Cl)c1Cl,"3,4,5-Trichloroguaiacol",2.41,2.42,2.36,1.8,3.56,1,2.23,0.01,2
149,88-06-2,3.45,3.69,Oc(c(cc(c1)Cl)Cl)c1Cl,"2,4,6-Trichlorophenol",2.43,2.68,2.44,1.74,3.3,1,1.6,0,1
150,104-40-5,5.99,5.76,Oc(ccc(c1)CCCCCCCCC)c1,p-Nonyl phenol,2.45,2.58,2.78,2.74,3.97,0.94,1.2,0.23,1
151,2539-17-5,3.92,4.59,COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl,Tetrachloroguaiacol,2.71,2.7,2.72,2.43,3.68,1.01,2.35,0.01,2
152,118-79-6,4.18,4.13,Oc(c(cc(c1)Br)Br)c1Br,"2,4,6-Tribromophenol",2.71,2.9,2.89,2.08,3.3,1.02,1.51,0,1
153,87-86-5,4.74,5.12,Oc(c(c(c(c1Cl)Cl)Cl)Cl)c1Cl,Pentachlorophenol,2.74,3.14,3.26,2.84,3.56,1.02,2.19,0,1
154,104-43-8,7.46,7.91,Oc(ccc(c1)CCCCCCCCCCCC)c1,p-Dodecyl phenol,3.78,2.76,2.93,2.06,4.22,0.94,1.25,0.33,1
155,106-47-8,1.72,1.83,Nc(ccc(c1)Cl)c1,4-Chloroaniline,0.23,1.8,1.23,0.71,2.98,0.97,1.21,0,1
156,108-42-9,1.72,1.88,Nc(cccc1Cl)c1,3-Chloroaniline,0.34,1.81,1.24,0.75,2.98,0.97,1.21,0,1
157,62-53-3,1.08,0.9,Nc(cccc1)c1,Aniline,0.41,1.04,0.7,0.5,2.8,0.95,1.26,0,1
158,95-51-2,1.72,1.9,Nc(c(ccc1)Cl)c1,2-Chloroaniline,0.57,1.81,1.22,0.76,2.98,0.97,1.21,0,1
159,122-39-4,3.29,3.5,N(c(cccc1)c1)c(cccc2)c2,Diphenylamine,1.48,2.14,2.34,2,3.68,0.94,1.97,0.07,1
160,95-76-1,2.37,2.69,Nc(ccc(c1Cl)Cl)c1,"3,4-Dichloroaniline",1.48,2.34,1.75,1.37,3.15,0.99,1.3,0,1
161,554-00-7,2.37,2.78,Nc(c(cc(c1)Cl)Cl)c1,"2,4-Dichloroaniline",1.98,2.34,1.75,1.44,3.15,0.99,1.3,0,1
162,135-88-6,4.47,4.38,N(c(ccc(c1ccc2)c2)c1)c(cccc3)c3,N-phenyl-2-naphtylamine,2.17,2.88,3.36,2.67,4.06,0.95,1.88,0.06,1
163,634-67-3,3.01,3.33,Nc1ccc(Cl)c(Cl)c1Cl,"2,3,4-Trichloroaniline",2.31,2.73,2.21,1.86,3.3,1,1.45,0,1
164,636-30-6,3.01,3.45,Nc(c(cc(c1Cl)Cl)Cl)c1,"2,4,5-Trichloroaniline",2.61,2.73,2.24,1.96,3.3,1,1.45,0,1
165,634-83-3,3.65,4.27,Nc1cc(Cl)c(Cl)c(Cl)c1Cl,"2,3,4,5-Tetrachloroaniline",2.69,3.02,2.66,2.59,3.44,1.01,1.64,0,1
166,634-91-3,3.01,3.32,Nc1cc(Cl)c(Cl)c(Cl)c1,"3,4,5-Trichloroaniline",2.7,2.73,2.23,1.86,3.3,1,1.45,0,1
167,634-93-5,3.01,3.52,Nc(c(cc(c1)Cl)Cl)c1Cl,"2,4,6-Trichloroaniline",2.73,2.73,2.23,2.01,3.3,1,1.45,0,1
168,91-94-1,3.21,3.51,Nc(c(cc(c(ccc(N)c1Cl)c1)c2)Cl)c2,"3,3-Dichlorobenzidine",2.79,3.11,2.67,2,3.97,0.98,1.18,0,2
169,3481-20-7,3.65,4.1,Nc1c(Cl)c(Cl)cc(Cl)c1Cl,"2,3,5,6-Tetrachloroaniline",3.03,3.02,2.66,2.46,3.44,1.01,1.64,0,1
170,527-20-8,4.3,4.82,Nc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,Pentachloroaniline,3.17,3.25,3.04,3.01,3.56,1.02,1.9,0,1
171,141-78-6,0.86,0.73,O=C(OCC)C,Ethyl acetate,1.48,0.64,0.67,0.5,2.55,0.98,1.6,0.01,2
172,131-11-3,1.66,1.6,O=C(OC)c(c(ccc1)C(=O)OC)c1,Dimethyl phtalate,1.76,1.57,1.89,0.53,3.78,0.98,1.85,0.03,4
173,84-66-2,2.65,2.42,O=C(OCC)c(c(ccc1)C(=O)OCC)c1,Diethyl phtalate,2.07,1.9,1.96,1.16,3.97,0.97,1.61,0.03,4
174,117-81-7,8.39,7.6,O=C(OCC(CCCC)CC)c(c(ccc1)C(=O)OCC(CCCC)CC)c1,Bis(2-ethylhexyl)phtalate,2.34,2.52,2.13,2.49,4.77,0.95,1.41,0.34,4
175,52918-63-5,6.18,6.2,CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c3cccc(Oc2ccccc2)c3,Deltamethrin,2.66,2.76,2.24,2.42,4.73,0.99,1.2,0.54,4
176,51630-58-1,6.76,6.2,CC(C)C(C(=O)OC(C#N)c2cccc(Oc1ccccc1)c2)c3ccc(Cl)cc3,Fenvalerate,2.79,2.98,3.99,4.07,4.83,0.97,1.26,0.31,4
177,85-68-7,4.84,4.73,O=C(OCc(cccc1)c1)c(c(ccc2)C(=O)OCCCC)c2,Benzyl butyl phtalate,2.89,2.51,3.04,2.94,4.49,0.96,1.54,0.12,4
178,52315-07-8,6.38,6,ClC(Cl)=CC1C(C)(C)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,Cypermethrin,2.91,2.78,2.82,2.32,4.78,0.98,1.35,0.45,4
179,52645-53-1,7.43,6.5,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc3cccc(Oc2ccccc2)c3,Permethrin,3.39,3.05,3.61,2.66,4.67,0.97,1.4,0.41,3
180,7580-85-0,0.46,0.39,OCCOC(C)(C)C,2-t-Butoxyethanol,-0.22,0.4,0.62,0.5,2.97,0.95,2.51,0.04,2
181,1634-04-4,1.43,0.94,O(C(C)(C)C)C,t-Butyl methyl ether,0.18,0.05,1.12,0.5,2.55,0.95,3.14,0,1
182,17348-59-3,2.34,2.14,O(C(C)(C)C)C(C)C,t-Butyl isopropyl ether,0.76,0.61,1.52,0.95,2.97,0.94,2.74,0.11,1
183,111-44-4,1.56,1.29,O(CCCl)CCCl,Bis(2-chloroethyl)ether,1.04,0.8,0.58,0.29,2.77,0.98,2.96,0.05,1
184,87-40-1,4.01,4.11,c1c(Cl)c(OC)c(Cl)cc1Cl,"2,4,6-Trichloroanisole",2.94,2.71,2.73,2.47,3.43,1.01,2.27,0,1
185,607-99-8,4.74,4.48,O(c(c(cc(c1)Br)Br)c1Br)C,"2,4,6-Tribromoanisole",2.94,2.76,3.06,2.75,3.43,1.02,2.65,0,1
186,72-43-5,5.67,5.08,COc1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl,Methoxychlor,3.1,3.12,3.42,3.21,4.36,0.97,1.94,0.19,2
187,52322-80-2,5.14,5.44,c1ccccc1Oc2c(Cl)cc(Cl)c(Cl)c2,"2,4,5-Trichlorodiphenyl ether",4.18,3.31,3.68,3.49,3.98,0.99,1.68,0.17,1
188,56348-72-2,6.63,6.36,Clc2c(ccc(c2)Oc1cc(c(cc1)Cl)Cl)Cl,"3,3,4,4-tetrachlorodiphenyl ether",4.51,3.7,3.98,4.2,4.06,1,1.71,0.11,1
189,534-52-1,2.27,2.12,O=N(=O)c(cc(N(=O)=O)c(O)c1C)c1,"2-Methyl-4,6-Dinitrophenol",0.16,0.81,0.98,0.93,3.78,0.99,1,0.01,7
190,100-01-6,1.47,1.39,O=N(=O)c(ccc(N)c1)c1,4-Nitroaniline,0.64,1.12,0.52,0.37,3.3,0.97,0.84,0,4
191,88-74-4,2.02,1.85,O=N(=O)c(c(N)ccc1)c1,2-Nitroaniline,0.91,1.13,0.52,0.73,3.3,0.97,0.84,0,4
192,99-09-2,1.47,1.37,O=N(=O)c(cccc1N)c1,3-Nitroaniline,0.92,1.12,0.53,0.36,3.3,0.97,0.84,0.01,4
193,554-84-7,1.91,2,O=N(=O)c(cccc1O)c1,3-Nitrophenol,1.4,1.09,0.74,0.84,3.3,0.98,1.03,0,4
194,88-75-5,1.91,1.79,O=N(=O)c(c(O)ccc1)c1,2-Nitrophenol,1.6,1.09,0.72,0.68,3.3,0.98,1.03,0,4
195,89-69-0,3.74,3.48,O=N(=O)c(c(cc(c1Cl)Cl)Cl)c1,"2,4,5-Trichloronitrobenzene",1.84,2.41,2.51,1.98,3.56,1.01,1.46,0,3
196,121-73-3,2.46,2.46,O=N(=O)c(cccc1Cl)c1,3-Chloronitrobenzene,1.89,1.81,1.56,1.19,3.3,0.99,0.99,0,3
197,879-39-0,4.39,3.93,Clc1cc(N(=O)=O)c(Cl)c(Cl)c1Cl,"2,3,4,5-Tetrachloronitrobenzene",1.89,2.58,2.91,2.33,3.68,1.02,1.79,0,3
198,100-00-5,2.46,2.39,O=N(=O)c(ccc(c1)Cl)c1,4-Chloronitrobenzene,2,1.8,1.55,1.14,3.3,0.99,0.99,0,3
199,89-61-2,3.1,3.09,O=N(=O)c(c(ccc1Cl)Cl)c1,"2,5-Dichloronitrobenzene",2.05,2.15,2.05,1.68,3.44,1,1.2,0,3
200,611-06-3,3.1,3.07,O=N(=O)c(c(cc(c1)Cl)Cl)c1,"2,4-Dichloronitrobenzene",2.07,2.15,2.05,1.66,3.43,1,1.2,0,3
201,99-54-7,3.1,3.12,O=N(=O)c(ccc(c1Cl)Cl)c1,"3,4-Dichloronitrobenzene",2.07,2.15,2.05,1.7,3.43,1,1.2,0,3
202,88-73-3,2.46,2.24,O=N(=O)c(c(ccc1)Cl)c1,2-Chloronitrobenzene,2.1,1.81,1.55,1.03,3.3,0.99,0.99,0,3
203,3209-22-1,3.1,3.05,O=N(=O)c(c(c(cc1)Cl)Cl)c1,"2,3-Dichloronitrobenzene",2.16,2.15,2.04,1.65,3.44,1,1.2,0,3
204,17700-09-3,3.74,3.61,Clc1ccc(N(=O)=O)c(Cl)c1Cl,"2,3,4-Trichloronitrobenzene",2.2,2.41,2.49,2.08,3.56,1.01,1.46,0,3
205,618-62-2,3.1,3.09,O=N(=O)c(cc(cc1Cl)Cl)c1,"3,5-Dichloronitrobenzene",2.23,2.15,2.07,1.68,3.44,1,1.2,0,3
206,82-68-8,5.03,4.64,O=N(=O)c(c(c(c(c1Cl)Cl)Cl)Cl)c1Cl,Pentachloronitrobenzene,2.4,2.67,3.25,2.87,3.78,1.02,2.27,0,3
207,18708-70-8,3.74,3.69,O=N(=O)c(c(cc(c1)Cl)Cl)c1Cl,"2,4,6-Trichloronitrobenzene",2.88,2.41,2.52,2.14,3.56,1.01,1.46,0,3
208,1836-77-7,4.96,4.97,Clc2cc(Cl)c(Oc1ccc(cc1)N(=O)=O)c(Cl)c2,Chloronitrofen,3.04,2.47,3.22,3.13,4.22,1,1.46,0.24,4
209,117-18-0,4.39,4.38,Clc1cc(Cl)c(Cl)c(N(=O)=O)c1Cl,"2,3,5,6-Tetrachloronitrobenzene",3.2,2.58,2.91,2.67,3.68,1.02,1.79,0,3
210,13286-32-3,2.73,,O=P(OCC)(OCC)SCc1ccccc1,IBP,0.97,2.29,2.75,1.4,4.14,0.95,1.47,0.09,3
211,254642,3.4728,3.69,CCOC(=O)C(SP(=S)(OC)OC)c1ccccc1,Phenthoate,1.56,1.68,1.91,2.14,4.22,0.96,2.15,0.24,4
212,333-41-5,3.86,3.81,O(P(OCC)(Oc(nc(nc1C)C(C)C)c1)=S)CC,Diazinon,1.8,1.81,1.78,2.23,4.22,0.97,1.65,0.06,5
213,122-14-5,3.3,3.3,COP(=S)(OC)Oc1ccc(N(=O)=O)c(C)c1,Fenitrothion,2,1.29,2.42,1.84,4.06,0.98,1.64,0.03,6
214,25311-71-1,4.65,4.12,CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,Isofenphos,2.17,1.94,1.82,2.47,4.43,0.96,1.63,0.12,5
215,298-04-4,3.86,4.02,CCOP(=S)(OCC)SCCSCC,Disulfoton,2.37,1.88,1.23,2.4,3.77,0.95,2.34,0.04,2
216,55-38-9,4.08,4.09,COP(=S)(OC)Oc1ccc(SC)c(C)c1,Fenthion,2.68,1.96,2.57,2.45,3.97,0.97,2.09,0.12,3
217,2104-64-5,4.47,4.78,CCOP(=S)(Oc1ccc(cc1)N(=O)=O)c2ccccc2,EPN,3.05,1.96,2.7,2.98,4.36,0.97,1.54,0.12,5
218,2921-88-2,4.66,4.96,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,Chloropyriphos,3.18,2.63,2.59,3.12,4.14,1,1.68,0.01,4
219,21609-90-5,6.34,6.31,COP(=S)(Oc1cc(Cl)c(Br)cc1Cl)c2ccccc2,Leptophos,3.78,3.33,3.78,4.16,4.3,0.99,2.02,0.15,2
220,10075-50-0,2.94,3,Brc2ccc1nccc1c2,5-Bromoindole,1.15,2.34,1.85,1.61,3.31,0.98,1.64,0,1
221,63-25-2,2.35,2.36,O=C(Oc(c(c(ccc1)cc2)c1)c2)NC,Carbaryl,1.22,2.29,1.31,1.12,3.88,0.96,0.98,0.02,3
222,2212-67-1,2.91,3.21,CCSC(=O)N1CCCCCC1,Molinate,1.41,1.68,0.94,1.77,3.56,0.95,1.25,0.13,2
223,3766-81-2,2.86,2.78,O=C(Oc(c(ccc1)C(CC)C)c1)NC,BPMC,1.41,2.22,1.31,1.44,3.88,0.96,0.93,0.06,3
224,107-13-1,0.21,0.25,N#CC=C,Acrylonitrile,1.68,0.59,0.62,0.5,1.97,1,0.93,0,1
225,28249-77-6,3.9,3.4,CCN(CC)C(=O)SCc1ccc(Cl)cc1,Thiobencarb,2.03,2.58,2.5,1.92,3.97,0.97,1.27,0.2,2
226,260-94-6,3.32,3.4,n(c(c(ccc1)cc2cccc3)c1)c23,Acridine,2.61,2.6,2.51,1.92,3.79,0.95,1.8,0.03,1
227,58-89-9,4.26,3.72,C(C(C(C(C1Cl)Cl)Cl)Cl)(C1Cl)Cl,Lindane,2.84,3.42,3.05,2.49,3.56,1,2.01,0,0
228,319-85-7,4.26,3.78,C(C(C(C(C1Cl)Cl)Cl)Cl)(C1Cl)Cl,-HCH,2.86,3.42,3.05,2.49,3.56,1,2.01,0,0
229,319-84-6,4.26,3.8,C(C(C(C(C1Cl)Cl)Cl)Cl)(C1Cl)Cl,-HCH,2.95,3.42,3.05,2.49,3.56,1,2.01,0,0
230,77-47-4,4.63,5.04,C(=C(C(=C1Cl)Cl)Cl)(C1(Cl)Cl)Cl,Hexachlorocyclopentadiene,3.09,3.38,3.53,3.18,3.43,1.02,2.44,0,0
231,92-83-1,4.31,4.23,O(c(c(ccc1)Cc2cccc3)c1)c23,Xanthene,3.62,2.56,2.49,2.56,3.79,0.95,1.93,0.02,1
232,60-57-1,5.45,5.4,ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl,Dieldrin,3.71,4.1,3.04,3.3,4.23,1.01,1.34,0.19,1
233,76-44-8,5.86,6.1,ClC1C=CC2C1C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl,Heptachlor,4.14,4.61,3.95,4,4.06,1.01,1.4,0.03,0
234,1024-57-3,4.56,4.98,ClC2C1OC1C3C2C4(Cl)C(=C(Cl)C3(Cl)C4(Cl)Cl)Cl,Heptachlor epoxide,4.16,4.25,3.1,3.14,4.15,1.02,1.64,0.04,1
235,789-02-6,6.79,,Clc1ccc(cc1)C(c2ccccc2Cl)C(Cl)(Cl)Cl,o-p-DDT,4.57,4.45,4.68,4.53,4.22,0.99,0.87,0.17,0
236,57-74-9,6.26,6.16,ClC1CC2C(C1Cl)C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl,Chlordane,4.58,4.69,3.83,4.09,4.14,1.02,1.44,0.09,0
237,72-55-9,6,6.51,ClC(Cl)=C(c1ccc(Cl)cc1)c2ccc(Cl)cc2,"p,p -DDE",4.71,4.52,4.93,4.31,4.14,0.99,0.93,0.08,0
238,50-29-3,6.79,6.91,c(ccc(c1)Cl)(c1)C(c(ccc(c2)Cl)c2)C(Cl)(Cl)Cl,"p,p -DDT",4.84,4.56,4.67,4.62,4.22,0.99,0.87,0.11,0
